,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
62,98001,1,1.0,5,5,5,2,5,3,2,3,3,3,2,1,1,2,1,2,1,1,1,1,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,55,3,8,3,3,1,2.0,3.972094259,,,,,2018,6,17
63,98115,1,6.0,3,3,3,3,5,3,3,3,3,2,2,1,1,2,1,1,1,1,2,2,2,1.0,3,2,2,1,2,2.0,2,2,1,2.0,2,4,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,38,2,5,3,2,1,1.0,0.498098705,,,,,2018,6,17
64,98010,2,,5,5,5,5,5,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1,2,2.0,2,2,2,3,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,1,2,2,72,4,3,2,1,1,2.0,0.769112058,,,,,2018,6,17
65,98042,2,,4,5,5,2,5,4,1,4,4,4,1,1,2,2,2,1,1,1,2,1,2,1.0,2,2,2,1,2,2.0,1,2,1,1.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,47,2,3,4,2,1,2.0,0.765719225,,,,,2018,6,17
66,98052,1,1.0,5,5,3,5,5,3,2,3,4,4,2,1,2,3,1,1,1,2,1,2,3,1.0,1,2,3,1,3,3.0,2,2,1,3.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,57,3,3,3,3,1,1.0,0.607542766,,,,,2018,6,17
67,98019,2,,5,5,5,5,5,4,2,4,4,4,2,1,1,2,1,1,1,1,1,2,2,1.0,2,2,2,1,2,1.0,1,1,1,1.0,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,1,2,1,1,2,2,55,3,3,2,5,1,3.0,1.751599122,,,,,2018,6,17
68,98056,2,,5,5,5,5,5,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,1,2,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,38,2,3,2,2,1,1.0,0.617983378,,,,,2018,6,17
69,98117,1,1.0,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,1,1,1,2,2,2,1.0,2,2,2,3,2,3.0,2,2,1,2.0,2,3,3,3,3,3,3,3,2,2,1,2,2,2,2,2,2,1,1,1,2,2,21,1,3,2,4,1,1.0,2.456195776,,,,,2018,6,17
70,98058,2,,5,5,4,1,3,3,1,4,4,2,2,1,1,3,2,1,1,1,2,3,3,3.0,2,1,2,1,3,3.0,3,2,1,3.0,2,4,3,2,4,3,3,4,2,2,2,1,2,2,1,2,2,2,1,1,2,2,45,2,3,3,2,1,2.0,0.765719225,,,,,2018,6,17
71,98011,1,1.0,1,1,1,1,1,3,3,3,3,3,1,1,1,3,1,1,1,1,2,2,3,1.0,2,2,2,3,2,3.0,2,2,1,2.0,2,2,2,2,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1,1,2,2,25,1,3,1,4,1,3.0,1.302815143,,,,,2018,6,17
