,Unnamed: 0,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
202,203,98125,1,3.0,5,5,5,5,5,4,2,4,4,4,2,1,1,1,1,1,1,1,1,3,2,1.0,2,2,2,3,2,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,2,1,1,2,2,27,1,4,3,1,2,1.0,0.527717281,,,,,2018,6,18
204,205,98055,1,1.0,5,5,5,1,1,4,2,4,4,2,1,1,1,1,1,1,2,1,2,2,2,1.0,2,2,1,1,1,1.0,1,1,1,2.0,2,4,4,2,4,4,4,4,1,1,2,1,2,2,1,2,1,1,1,1,2,2,28,1,3,3,1,1,2.0,0.514611982,,,,,2018,6,18
206,207,98053,1,1.0,2,3,2,2,3,3,1,3,4,3,4,2,1,2,1,1,1,1,1,2,1,1.0,2,1,1,1,1,1.0,1,1,1,1.0,2,3,3,3,4,4,4,4,1,1,1,2,1,1,2,2,2,1,1,1,2,2,20,1,3,3,2,1,2.0,0.994759289,,,,,2018,6,18
208,209,98002,1,1.0,3,3,5,1,5,3,2,3,3,3,2,2,2,1,1,2,1,1,1,2,2,2.0,2,2,2,3,3,3.0,3,2,1,2.0,2,3,3,3,3,3,4,4,1,2,1,1,2,2,2,2,1,2,2,2,2,2,21,1,3,1,1,1,1.0,0.970197332,,,,,2018,6,18
211,212,98092,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2.0,2,2,2,3,2,2.0,3,2,2,2.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,1,1,2,2,2,2,29,1,5,1,1,1,1.0,0.527717281,,,,,2018,6,18
214,215,98052,3,,5,5,5,5,3,3,2,4,4,3,1,1,2,2,2,1,1,1,1,1,3,1.0,2,2,2,1,3,3.0,2,2,1,3.0,2,4,4,3,4,4,4,4,1,1,1,1,1,1,1,2,1,2,1,1,2,2,26,1,7,4,4,1,2.0,1.335993115,,,,,2018,6,18
216,217,98055,1,1.0,3,3,5,4,2,4,2,3,3,3,1,1,1,2,2,1,1,1,2,2,3,1.0,2,2,3,1,3,1.0,2,2,1,2.0,2,5,2,4,4,2,2,3,2,2,2,2,1,1,1,2,1,2,1,1,2,2,19,1,3,2,2,1,2.0,0.994759289,,,,,2018,6,18
217,218,98052,1,1.0,1,1,1,1,2,3,2,4,4,2,2,2,1,1,1,1,1,1,1,2,1,1.0,2,2,1,1,2,1.0,1,2,2,1.0,2,2,4,4,2,3,4,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,28,1,4,3,2,1,1.0,0.541077212,,,,,2018,6,18
223,224,98155,2,,2,3,6,3,6,4,3,3,4,3,5,5,5,5,2,2,1,1,1,5,2,2.0,2,2,2,3,2,3.0,3,2,3,3.0,2,4,3,3,4,4,4,4,1,1,1,2,1,1,1,2,2,2,1,1,2,2,19,1,8,1,1,1,1.0,0.758993357,,,,,2018,6,18
225,226,98047,2,,5,5,5,5,5,3,2,2,3,3,2,1,1,2,1,1,1,1,1,2,2,1.0,2,2,2,3,2,2.0,2,2,1,2.0,2,2,3,2,4,4,3,4,2,2,2,2,1,1,1,2,2,2,1,1,2,2,30,1,3,3,1,2,2.0,0.514611982,,,,,2018,6,18
231,232,98146,2,,2,2,4,3,3,3,2,3,3,3,2,1,1,2,1,1,1,1,1,2,2,1.0,2,2,2,3,2,2.0,2,2,1,2.0,2,3,2,3,3,2,3,3,2,2,1,1,1,1,1,1,1,2,1,1,2,1,28,1,3,3,3,1,2.0,0.533364477,,,,,2018,6,18
239,240,98106,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,3,3.0,3,3,3,3,3,3.0,3,3,3,3.0,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,21,1,1,1,3,2,2.0,0.385965113,,,,,2018,6,18
240,241,98003,2,,5,5,5,5,5,4,2,4,4,3,2,1,1,1,1,1,1,1,1,2,2,3.0,2,2,2,1,2,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,28,1,3,2,1,2,2.0,0.514611982,,,,,2018,6,18
242,243,98045,2,,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2,2,1,2,3,3,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,3,3,3,3,3,3,3,2,2,2,1,2,2,2,2,1,2,2,2,2,2,26,1,3,1,1,1,2.0,0.514611982,,,,,2018,6,18
245,246,98001,2,,3,5,5,5,5,3,3,4,4,3,2,1,1,3,2,2,1,1,2,2,3,3.0,2,2,3,3,2,2.0,2,2,2,2.0,2,4,4,4,4,4,3,3,2,2,2,2,1,1,1,2,1,2,1,1,2,2,25,1,3,3,2,1,2.0,0.527640133,,,,,2018,6,18
246,247,98105,1,1.0,2,3,3,2,2,3,2,2,2,1,2,1,2,2,2,1,1,1,2,2,3,3.0,1,2,3,1,2,3.0,2,2,1,2.0,2,3,2,3,5,5,3,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,24,1,1,3,2,1,1.0,0.390789677,,,,,2018,6,18
